Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,profit loss
6857.T,2023-03-31,0.8373854772847471,"[130400000000.0, 87301000000.0, 69787000000.0, 53532000000.0]",0.3536808301735314,0.217252225835688,46636000000.0,0.08325017717171465,17.32403195394388,51.360257744957934
8267.T,2023-02-28,2.333353944595406,"[21381000000.0, 6504000000.0, -71024000000.0, 26838000000.0]",0.02151555830161832,0.001732444204819778,433710000000.0,0.0475724983991132,105.47013064391678,10.36036152306368
5201.T,2022-12-31,-0.8260328549609585,"[-3152000000.0, 123840000000.0, 32715000000.0, 44434000000.0]",-0.002267211603059585,-0.0011201021737871216,-6775000000.0,-0.0033278090883816975,-329.8685623791315,4.713115969961121
2802.T,2023-03-31,0.42467907024254575,"[94065000000.0, 75725000000.0, 59416000000.0, 18837000000.0]",0.12237275523107265,0.06222324826986758,44594000000.0,0.03281105719530724,27.392333942753027,20.243249756453437
6770.T,2023-03-31,-0.33818935334084155,"[11470000000.0, 22960000000.0, -3837000000.0, -4009000000.0]",0.02880353577841116,0.015563156973501928,-36943000000.0,-0.03959108962034649,21.720068980998967,-2.804881207183045
6113.T,2023-03-31,0.3996837509157394,"[34158000000.0, 27769000000.0, 18564000000.0, 23390000000.0]",0.067756735901866,0.052748617120831676,0.0,0.0,12.766089674777353,17.058820437945972
9202.T,2023-03-31,-0.9495050658754689,"[89477000000.0, -143628000000.0, -404624000000.0, 27655000000.0]",0.10375119286564884,0.026576874136400846,332930000000.0,0.1949827933965999,15.995584524810765,12.126191258626354
8304.T,2023-03-31,-0.8412134588422093,"[8719000000.0, 35004000000.0, 28972000000.0, 28142000000.0]",0.019876396579591074,0.0012136574393066882,-67374000000.0,-0.6369256948383437,32.55165174685282,15.278667816809142
2502.T,2022-12-31,0.11032659853828514,"[151555000000.0, 153500000000.0, 92826000000.0, 142207000000.0]",0.07354418377141349,0.0313756121717211,166146000000.0,0.06616441825680137,14.109173222793379,24.274755370736127
3407.T,2023-03-31,-1.456337959500864,"[-91312000000.0, 161880000000.0, 79768000000.0, 103931000000.0]",-0.054976693667733945,-0.026432569909735807,-81354000000.0,-0.029838418329827598,-14.359456800458497,-2.876124848045852
4503.T,2023-03-31,-0.03284453022936043,"[98714000000.0, 124086000000.0, 120589000000.0, 195411000000.0]",0.06546220905942754,0.040184521342811245,239226000000.0,0.15752864938473704,38.61721792755577,5.565994554677193
7832.T,2023-03-31,0.08742184353524408,"[90345000000.0, 92752000000.0, 48894000000.0, 57665000000.0]",0.13859762430371358,0.09752708995874165,61818000000.0,0.0624368112361616,23.63115552571139,1.9414516733457594
5108.T,2022-12-31,0.028454290315423403,"[300367000000.0, 394037000000.0, -23301000000.0, 292598000000.0]",0.10127668498883609,0.060535674625711786,13757000000.0,0.0033471449391372895,10.841109944640749,14.256239269202965
7751.T,2022-12-31,0.28364614828353996,"[243961000000.0, 214718000000.0, 83318000000.0, 125105000000.0]",0.07836581162537082,0.04787745337580193,74076000000.0,0.01837469433801639,11.657016076171793,12.500007741838443
6952.T,2023-03-31,-0.13123955765624634,"[13079000000.0, 15889000000.0, 12014000000.0, 17588000000.0]",0.05902075812274368,0.039015702932964226,293000000.0,0.0011105594111381907,22.90942360475755,2.196485623003195
9022.T,2023-03-31,-4.7279998509227505,"[219417000000.0, -51928000000.0, -201554000000.0, 397881000000.0]",0.05836716540036933,0.023061548016277206,32639000000.0,0.0233088264174793,14.965157040408368,7.323529919589921
9502.T,2023-03-31,-1.4149068630337271,"[38231000000.0, -43022000000.0, 147202000000.0, 163472000000.0]",0.018551461368550588,0.005922601997613671,295798000000.0,0.074196555982282,31.645374056659165,12.43827877049106
4519.T,2022-12-31,0.4960093861836531,"[374429000000.0, 302995000000.0, 214733000000.0, 157560000000.0]",0.2628702733175745,0.2002553271599854,172873000000.0,0.1372066739368195,15.433382212937644,0.02797719268120531
7762.T,2023-03-31,0.057156882270261014,"[21836000000.0, 22140000000.0, -25173000000.0, -16667000000.0]",0.09740474087555424,0.05599232785102902,20000000.0,6.636448703569746e-05,10.020264482973422,23.63636260614424
1721.T,2023-03-31,-0.381608344594824,"[19338000000.0, 29208000000.0, 29369000000.0, 25994000000.0]",0.056538404189069476,0.03851170904919613,53099000000.0,0.09426499436352177,16.859143694319396,14.742641648706867
7186.T,2023-03-31,0.049726813305094715,"[56159000000.0, 53881000000.0, 25326000000.0, 46536000000.0]",0.048604121211281964,0.0021826652869820664,953251000000.0,3.5721014764295886,10.8240073228793,18.637228575154612
8253.T,2023-03-31,0.286440868661818,"[43599000000.0, 35375000000.0, 36132000000.0, 22863000000.0]",0.07287134736528937,0.011190406829384731,-145728000000.0,-0.38095138509477516,6.840671160189301,19.444444444444446
7912.T,2023-03-31,-0.096610624223877,"[85692000000.0, 97182000000.0, 25088000000.0, 69497000000.0]",0.07879709646510995,0.04681640573781239,-24132000000.0,-0.017573435653276376,12.241460617277706,2.446406798117935
8750.T,2023-03-31,-0.4585031915365038,"[192301000000.0, 409353000000.0, 363777000000.0, 32433000000.0]",0.06693128110957078,0.0031228405742800875,-294149000000.0,-0.03492729718558528,13.287193575655113,9.204771371769384
4568.T,2023-03-31,0.8539033598345606,"[109188000000.0, 66972000000.0, 75958000000.0, 129074000000.0]",0.07551799835944709,0.04352045865719847,47148000000.0,0.03687822551502646,80.42729409892907,-4.652174357920533
6367.T,2023-03-31,0.4645564797825885,"[257754000000.0, 217709000000.0, 156249000000.0, 170731000000.0]",0.11516406883197075,0.059891506853898595,-16180000000.0,-0.00406371544146567,28.873439522791536,-0.7239241173276354
1925.T,2023-03-31,0.47457300640280875,"[308399000000.0, 225272000000.0, 195076000000.0, 233603000000.0]",0.13501341820585672,0.050210946901100235,-256218000000.0,-0.05220203989284053,7.240614949599783,12.931279726792743
8601.T,2023-03-31,-0.2918555010764819,"[63875000000.0, 94891000000.0, 108396000000.0, 60346000000.0]",0.04508930682823286,0.0024182940318434143,-264993000000.0,-0.4369382515742559,14.357914082242132,23.312001953125
2432.T,2023-03-31,-0.6789942643033158,"[8857000000.0, 30532000000.0, 25630000000.0, -49166000000.0]",0.03996372266791803,0.025382441781155608,3227000000.0,0.023918940954978728,25.814014066163065,-23.20887991927346
4061.T,2023-03-31,-0.4501394660203092,"[12768000000.0, 26012000000.0, 22785000000.0, 22703000000.0]",0.04306544477011862,0.021562067783386332,-30894000000.0,-0.07580252184346316,17.374844296051965,-1.5791391970536879
6902.T,2023-03-31,0.35284179722345044,"[314633000000.0, 263901000000.0, 125055000000.0, 68099000000.0]",0.07188443584175934,0.04246826215043958,188406000000.0,0.02943236707429093,19.688040852383356,18.508220825774007
4324.T,2022-12-31,-0.30203910906275855,"[59847000000.0, 108389000000.0, -159596000000.0, -80893000000.0]",0.06798732657250584,0.01599576845946747,62370000000.0,0.05014137181712428,18.14113298041295,17.084815300621393
4631.T,2022-12-31,3.2668015784277515,"[17610000000.0, 4365000000.0, 13233000000.0, 23500000000.0]",0.04550422871495128,0.013958056081107324,-37462000000.0,-0.035535917723470194,12.568487973662993,4.769798386962056
5714.T,2023-03-31,-0.5713111901094103,"[25041000000.0, 51012000000.0, 21824000000.0, 17395000000.0]",0.07260554783975227,0.03821408187619987,17649000000.0,0.02262518267825552,10.290902177013024,8.175519630484988
9020.T,2023-03-31,-1.8295670774397268,"[99232000000.0, -94948000000.0, -577900000000.0, 198428000000.0]",0.04012209031756178,0.010610893038943213,26172000000.0,0.010879894643111022,30.562894955719873,0.7283951770547239
6361.T,2022-12-31,0.28629579619722834,"[50488000000.0, 43616000000.0, 24473000000.0, 23358000000.0]",0.1402576910041504,0.060972237150216956,12723000000.0,0.018686386534874498,9.913808448852555,9.856624099131208
4523.T,2023-03-31,0.14030557270614105,"[55432000000.0, 47954000000.0, 42119000000.0, 121767000000.0]",0.06929355129450385,0.04387699370720703,-36331000000.0,-0.048805618469590355,40.83933250834152,19.272269855369593
5020.T,2023-03-31,-0.357416812466371,"[143766000000.0, 537117000000.0, 113998000000.0, -187946000000.0]",0.050270785137029025,0.014442287857863922,-428975000000.0,-0.02856680700512248,10.33894393688265,12.158299956240896
6954.T,2023-03-31,0.2609000992132878,"[170587000000.0, 155273000000.0, 94012000000.0, 73371000000.0]",0.105602039401353,0.09105082581813213,52439000000.0,0.06155130077140134,25.53906468776253,-8.092105263157896
9983.T,2023-08-31,0.2860260580203105,"[296230000000.0, 273335000000.0, 169848000000.0, 90358000000.0]",0.1626381831608017,0.08966629475974469,366059000000.0,0.13231572673181866,,-1.9613337069207062
6504.T,2023-03-31,0.1548303828889368,"[61348000000.0, 58660000000.0, 41926000000.0, 28793000000.0]",0.11864062611803339,0.05192154048234864,55083000000.0,0.05456750081975577,13.317032659706054,16.741769909615734
4901.T,2023-03-31,0.17097524975707948,"[219422000000.0, 211180000000.0, 181205000000.0, 124987000000.0]",0.07941023724777382,0.05307341416743926,-113020000000.0,-0.03953073775437288,13.977731391113556,10.090791054430904
5803.T,2023-03-31,0.24881162442445007,"[40891000000.0, 39101000000.0, -5369000000.0, -38510000000.0]",0.15114809119673536,0.062259339053114794,42712000000.0,0.052962788904003084,6.093564428755395,24.619569263328504
6702.T,2023-03-31,0.21323389398291628,"[215182000000.0, 182691000000.0, 202700000000.0, 160042000000.0]",0.13560452094893294,0.06589398082239015,52231000000.0,0.014064156421229441,16.11754235394491,0.5839811193514831
