Stock,Date,Sector,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,PBR,ROE_increase,Asset,Oper_over_Invest,Net Income Sign,Total Revenue,profit loss
1301.T,2023-03-31,Consumer Defensive,0.32105366968364474,"[5782000000.0, 4634000000.0, 3838000000.0, 2037000000.0]",0.12311033513605588,0.03952315200896824,-6243000000.0,-0.022938122549758053,6.798367649786681,0.32103845680615745,0.8527904695950262,0.013232211173424865,503000000.0,-3905000000.0,"[5782000000.0, 4634000000.0, 3838000000.0, 2037000000.0]","[272167000000.0, 253575000000.0, 249197000000.0, 262519000000.0]",3.547066848567531
1332.T,2023-03-31,Consumer Defensive,0.33651369415358,"[21233000000.0, 17275000000.0, 14452000000.0, 14768000000.0]",0.0962367370248331,0.03867485833668784,3396000000.0,-0.02522192035470807,9.117560832600411,0.4018720868176163,0.8807913244800188,0.01342115091579936,-1438000000.0,25967000000.0,"[21233000000.0, 17275000000.0, 14452000000.0, 14768000000.0]","[768181000000.0, 693682000000.0, 656491000000.0, 690016000000.0]",23.90675437412078
1333.T,2023-03-31,Consumer Defensive,0.27788649355516315,"[18596000000.0, 16898000000.0, 5778000000.0, 12537000000.0]",0.08750194098465564,0.0291826931376103,-24000000.0,-0.029170292496687754,7.113396392432908,0.3335090948751387,0.6156918672460604,-0.0024317450297993287,8930000000.0,23836000000.0,"[18596000000.0, 16898000000.0, 5778000000.0, 12537000000.0]","[1020456000000.0, 866702000000.0, 862585000000.0, 905204000000.0]",-4.464630846540394
1375.T,2023-03-31,Consumer Defensive,-0.7084529710041321,"[1181000000.0, 2989000000.0, 4744000000.0, 4346000000.0]",0.11345950619656067,0.03546120586115782,3101000000.0,0.00398066533977822,33.34458319271009,0.3125450396348787,3.7882382169276587,-0.17202282427144314,-2663000000.0,6097000000.0,"[1181000000.0, 2989000000.0, 4744000000.0, 4346000000.0]","[42204000000.0, 47080000000.0, 51380000000.0, 50759000000.0]",-6.680161943319838
1376.T,2023-05-31,Basic Materials,0.11952509360992114,"[1426338000.0, 1302571000.0, 1436066000.0, 1122488000.0]",0.06065953010126125,0.0305374200817314,-1590605000.0,-0.032051180092010544,11.591037774003075,0.5034232878288726,0.6989668631637753,0.0031401625864027477,-2661803000.0,-1091100000.0,"[1426338000.0, 1302571000.0, 1436066000.0, 1122488000.0]","[62179177000.0, 60691766000.0, 60779093000.0, 58179890000.0]",-1.7445917655268668
1377.T,2023-05-31,Consumer Defensive,-0.1680796654983223,"[9489000000.0, 12256000000.0, 7636000000.0, 6094000000.0]",0.06872103128621089,0.05904240425598108,8351000000.0,0.027775261121105833,19.067202542293675,0.8591606259527735,1.3103912224797218,-0.02896280337816033,-1413000000.0,16458000000.0,"[9489000000.0, 12256000000.0, 7636000000.0, 6094000000.0]","[77263000000.0, 73049000000.0, 69218000000.0, 61667000000.0]",3.799019607843137
1379.T,2023-03-31,Consumer Defensive,-1.7762656167494604,"[-2037000000.0, 2530000000.0, 4038000000.0, 1531000000.0]",-0.039976449808654696,-0.019419049162511796,4675000000.0,0.04244998629761579,-28.915101660717053,0.48576222389582163,1.2196622808360318,-0.08639165491616185,1648000000.0,8822000000.0,"[-2037000000.0, 2530000000.0, 4038000000.0, 1531000000.0]","[72980000000.0, 70932000000.0, 73889000000.0, 71220000000.0]",0.644122383252818
1380.T,2023-03-31,Consumer Defensive,0.04292353077740292,"[156042000.0, 159570000.0, 169973000.0, 71834000.0]",0.07298192640070043,0.02569281540679797,449011000.0,-0.033728201392186054,28.10579748864547,0.3520435356246144,2.056183763927728,-0.005414053625200657,-86432000.0,1157361000.0,"[156042000.0, 159570000.0, 169973000.0, 71834000.0]","[7070463000.0, 6638727000.0, 6417643000.0, 5790005000.0]",0.19011406844106463
1381.T,2023-06-30,Consumer Defensive,-0.16495097624057803,"[1410000000.0, 1943000000.0, 2412000000.0, 1973000000.0]",0.07139602005164819,0.06229015727160276,2635000000.0,0.020787519190075102,11.904287932476013,0.8724597985509808,0.8504898982226948,-0.03211471459221735,-118000000.0,4815000000.0,"[1410000000.0, 1943000000.0, 2412000000.0, 1973000000.0]","[24101000000.0, 21725000000.0, 21160000000.0, 19770000000.0]",-3.511705685618729
1382.T,2023-06-30,Consumer Defensive,-0.2684649924508503,"[110353000.0, 142243000.0, 108305000.0, 28948000.0]",0.14009219046941984,0.0995929749828526,122758000.0,0.04684091747202697,12.355052457205964,0.7109102559474387,1.7315609539974384,-0.057639448427732415,72883000.0,126834000.0,"[110353000.0, 142243000.0, 108305000.0, 28948000.0]","[2489362000.0, 2604674000.0, 3039041000.0, 3230299000.0]",1.3966480446927374
1384.T,2023-03-31,Consumer Defensive,-0.21423041865692222,"[745000000.0, 1191223000.0, 132784000.0, 223088000.0]",0.06932812209194118,0.04421627396284646,2519000000.0,0.0329910789429389,8.58958356972654,0.637782657724494,0.5958927042620511,-0.047981186013156166,679000000.0,4339000000.0,"[745000000.0, 1191223000.0, 132784000.0, 223088000.0]","[17823000000.0, 15359863000.0, 13060962000.0, 13416235000.0]",20.739762219286657
1400.T,2022-12-31,Real Estate,-1.0713470901497755,"[-14070000.0, -459086000.0, 80875000.0, -32652000.0]",-0.005881354642758911,-0.004754938190872749,-202347000.0,-0.08922937307541509,-99.07407407407406,0.8084766996200443,0.5818320064406476,0.1909490265021077,-279445000.0,-134571000.0,"[-14070000.0, -459086000.0, 80875000.0, -32652000.0]","[2269970000.0, 2527792000.0, 2626680000.0, 3598007000.0]",14.018691588785046
1401.T,2023-05-31,Industrials,-0.016547769615447842,"[322674000.0, 325964000.0, 287098000.0, 227411000.0]",0.10005839018598343,0.07809261509121623,54044000.0,0.007944822791142217,11.942749882684186,0.7804704327749193,1.2203914778236677,-0.009210806442521952,-59977000.0,78327000.0,"[322674000.0, 325964000.0, 287098000.0, 227411000.0]","[4004117000.0, 4030130000.0, 3439593000.0, 3345617000.0]",2.357563850687623
