Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
MMM,2022-12-31,-0.056168611031912646,"[5777000000.0, 5921000000.0, 5384000000.0, 4570000000.0]",0.3911306702775897,0.12435690453126681,5591000000.0,0.11224400362265916,10.647213120418476,0.31794209450005384,-11.868831008505339
AOS,2022-12-31,-0.45536244587888797,"[235700000.0, 487100000.0, 344900000.0, 370000000.0]",0.13486296275104423,0.07073192689733818,391400000.0,0.08553770745091771,44.16682092767013,0.5244725865018156,-0.7200092825238645
ABT,2022-12-31,-0.006097878142212807,"[6933000000.0, 7071000000.0, 4495000000.0, 3687000000.0]",0.18786072347920335,0.09313791343131196,9581000000.0,0.1787735092662589,26.788403080953547,0.4957817243880814,2.3241617852066203
ABBV,2022-12-31,0.05851665709478884,"[11836000000.0, 11542000000.0, 4616000000.0, 7882000000.0]",0.6846763463874588,0.08527070350491697,24943000000.0,0.41768009094980535,22.43088342193374,0.12454162314037678,-3.3996637786217296
ACN,2023-08-31,0.04005527761536741,"[6871557000.0, 6877169000.0, 5906809000.0, 5107839000.0]",0.2597098417138054,0.1340914450601865,9524268000.0,0.14031900083206283,27.690824456171157,0.5163125285331017,16.48610541673639
AMD,2022-12-31,-0.14643462585896455,"[1320000000.0, 3162000000.0, 2490000000.0, 341000000.0]",0.02410958904109589,0.01953240603728914,3565000000.0,0.1510529214863777,97.79999676872703,0.81015093222847,14.591609868378486
AES,2022-12-31,0.46744694424808997,"[-546000000.0, -409000000.0, 46000000.0, 303000000.0]",-0.12122557726465365,-0.01423246357167062,2715000000.0,-0.14551795196956488,-31.312158631115427,0.11740479107473346,-15.49592570810475
AFL,2022-12-31,-0.11266882791217721,"[4418000000.0, 4325000000.0, 4778000000.0, 3304000000.0]",0.21936444885799405,0.033536261367259255,3879000000.0,0.20266457680250782,10.48126451198428,0.1528791996234951,-6.3464986423749234
ABNB,2022-12-31,-5.975563093828126,"[1893000000.0, -352034000.0, -4584716000.0, -674339000.0]",0.3404676258992806,0.11803217358772915,3430000000.0,0.40540540540540543,39.19865258213647,0.34667664297293926,-9.573094673041577
AKAM,2022-12-31,-0.1514744535184813,"[523672000.0, 651642000.0, 557054000.0, 478035000.0]",0.12010310566955042,0.06306717730086471,1274676000.0,0.22572632051614558,26.73860219474259,0.5251086301996772,-3.0123922804439465
ALB,2022-12-31,21.949174605576566,"[2689816000.0, 123672000.0, 375764000.0, 533228000.0]",0.3283929000260901,0.17402466091660207,1907849000.0,0.08827784413991932,11.650063527580132,0.5299282076524072,-27.33080573000968
ARE,2022-12-31,0.13778282710755557,"[521660000.0, 571247000.0, 770959000.0, 363165000.0]",0.02299758936628429,0.014684968631520875,1294321000.0,0.49993819917016935,50.28249872555523,0.6385438229038837,-27.756554046922744
ALGN,2022-12-31,-0.586794215154773,"[361573000.0, 772020000.0, 1775888000.0, 442776000.0]",0.10039907168351495,0.060789546376253854,568732000.0,0.152285832484299,70.40259951636905,0.6054791678540512,-9.699937700082192
ALLE,2022-12-31,0.08930872948722782,"[458000000.0, 483000000.0, 314300000.0, 401800000.0]",0.4849126521969296,0.11475245540188414,459500000.0,0.12087777743818576,22.69259819617638,0.23664562036480258,-8.952966936567051
LNT,2022-12-31,0.16389300685104893,"[686000000.0, 674000000.0, 624000000.0, 567400000.0]",0.10930528999362651,0.034022714873778705,486000000.0,0.11557669441141498,19.19839600503663,0.31126320488022613,3.1595648482844076
ALL,2022-12-31,-1.8035989817902813,"[-1311000000.0, 1599000000.0, 5576000000.0, 4847000000.0]",-0.07556195965417867,-0.013383423338811928,5121000000.0,0.09143779662335641,-25.379496607287177,0.17711853160060026,-12.779067186668744
GOOGL,2022-12-31,-0.11342906950420986,"[59972000000.0, 76033000000.0, 40269000000.0, 34343000000.0]",0.2341339246673746,0.16418809409084936,91495000000.0,0.21217242500954617,20.612200568704043,0.7012571728941259,24.20463098842148
GOOG,2022-12-31,-0.11342906950420986,"[59972000000.0, 76033000000.0, 40269000000.0, 34343000000.0]",0.2341339246673746,0.16418809409084936,91495000000.0,0.21217242500954617,20.697167755991288,0.7012571728941259,24.126313862047695
MO,2022-12-31,1.308851941326007,"[5764000000.0, 2475000000.0, 4467000000.0, -1293000000.0]",-1.4692837114453225,0.1559777020079017,8256000000.0,0.38916279969064194,13.74602840985624,-0.10615900849705039,-2.5265572680920436
AMZN,2022-12-31,-0.987589769213644,"[-2722000000.0, 33364000000.0, 21331000000.0, 11588000000.0]",-0.018638346240490815,-0.0058831793375479545,46752000000.0,-0.032866845790619534,-368.66667005750867,0.3156492138109904,10.769541010754503
