Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,profit loss
6857.T,2023-03-31,True,True,True,True,True,False,False,True
8267.T,2023-02-28,True,False,False,False,True,False,False,True
5201.T,2022-12-31,False,False,False,False,False,False,True,True
2802.T,2023-03-31,True,True,True,True,True,False,False,True
6770.T,2023-03-31,False,False,False,False,False,False,False,False
6113.T,2023-03-31,False,False,False,True,True,False,True,True
9202.T,2023-03-31,False,False,True,False,True,True,False,True
8304.T,2023-03-31,False,False,False,False,False,False,False,True
2502.T,2022-12-31,False,False,False,False,True,False,True,True
3407.T,2023-03-31,False,False,False,False,False,False,True,False
4503.T,2023-03-31,False,False,False,False,True,True,False,True
7832.T,2023-03-31,False,False,True,True,True,False,False,True
5108.T,2022-12-31,False,False,True,True,True,False,True,True
7751.T,2022-12-31,False,False,False,False,True,False,True,True
6952.T,2023-03-31,False,False,False,False,True,False,False,True
9022.T,2023-03-31,False,False,False,False,True,False,True,True
9502.T,2023-03-31,False,False,False,False,True,False,False,True
4519.T,2022-12-31,True,True,True,True,True,True,False,True
7762.T,2023-03-31,False,False,False,True,True,False,True,True
1721.T,2023-03-31,False,False,False,False,True,False,False,True
7186.T,2023-03-31,False,False,False,False,True,True,True,True
8253.T,2023-03-31,False,False,False,False,False,False,True,True
7912.T,2023-03-31,False,False,False,False,False,False,True,True
8750.T,2023-03-31,False,False,False,False,False,False,True,True
4568.T,2023-03-31,True,False,False,False,True,False,False,False
6367.T,2023-03-31,True,False,True,True,False,False,False,False
1925.T,2023-03-31,True,False,True,True,False,False,True,True
8601.T,2023-03-31,False,False,False,False,False,False,True,True
2432.T,2023-03-31,False,False,False,False,True,False,False,False
4061.T,2023-03-31,False,False,False,False,False,False,False,False
6902.T,2023-03-31,False,True,False,False,True,False,False,True
4324.T,2022-12-31,False,False,False,False,True,False,False,True
4631.T,2022-12-31,True,False,False,False,False,False,True,True
5714.T,2023-03-31,False,False,False,False,True,False,True,True
9020.T,2023-03-31,False,False,False,False,True,False,False,True
6361.T,2022-12-31,False,True,True,True,True,False,True,True
4523.T,2023-03-31,False,False,False,False,False,False,False,True
5020.T,2023-03-31,False,False,False,False,False,False,True,True
6954.T,2023-03-31,False,True,True,True,True,False,False,False
9983.T,2023-08-31,False,True,True,True,True,True,False,False
6504.T,2023-03-31,False,True,True,True,True,False,True,True
4901.T,2023-03-31,False,True,False,True,False,False,True,True
5803.T,2023-03-31,False,True,True,True,True,False,True,True
6702.T,2023-03-31,False,False,True,True,True,False,False,True
8354.T,2023-03-31,False,False,False,False,False,False,False,True
5801.T,2023-03-31,True,False,False,False,False,False,True,False
6674.T,2023-03-31,True,False,False,False,False,False,True,True
