Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
20MICRONS.NS,2023-03-31,False,False,True,True,True,False,True,True,True
21STCENMGM.NS,2023-03-31,False,False,False,False,False,True,True,True,True
3MINDIA.NS,2023-03-31,True,False,True,True,True,True,False,True,True
3PLAND.NS,2023-03-31,False,False,False,False,True,False,False,True,False
5PAISA.NS,2023-03-31,True,False,False,False,True,False,False,False,True
63MOONS.NS,2023-03-31,False,False,False,False,True,True,True,True,True
A2ZINFRA.NS,2023-03-31,False,False,False,False,True,False,True,False,True
AAKASH.NS,2023-03-31,False,False,False,True,True,False,True,True,False
AARON.NS,2023-03-31,True,True,True,True,True,False,False,True,True
AARTIDRUGS.NS,2023-03-31,False,False,True,True,True,False,False,True,True
AARTIIND.NS,2023-03-31,False,False,True,True,True,False,False,True,False
AARVEEDEN.NS,2023-03-31,False,False,False,False,True,True,True,False,True
AARVI.NS,2023-03-31,True,True,True,True,True,False,True,True,True
AAVAS.NS,2023-03-31,True,True,True,False,False,False,False,False,True
ABAN.NS,2023-03-31,False,False,False,False,True,True,True,False,True
ABB.NS,2022-12-31,True,False,True,True,True,False,False,True,True
ACCELYA.NS,2023-06-30,True,False,True,True,True,True,False,True,False
ACCURACY.NS,2023-03-31,False,False,False,False,True,False,False,True,False
ACEINTEG.NS,2023-03-31,False,False,False,False,True,True,False,True,False
ACE.NS,2023-03-31,True,True,True,True,True,False,False,True,True
ADANIENT.NS,2023-03-31,True,False,False,False,True,False,False,False,True
ADANIGREEN.NS,2023-03-31,True,True,True,False,True,True,False,False,True
ADANIPORTS.NS,2023-03-31,True,False,True,False,True,True,False,True,True
ADANIPOWER.NS,2023-03-31,True,True,True,True,True,True,True,True,True
ADFFOODS.NS,2023-03-31,False,False,True,True,True,False,False,True,True
ABCAPITAL.NS,2023-03-31,True,True,True,False,False,False,True,False,True
ABFRL.NS,2023-03-31,False,False,False,False,True,False,True,False,True
BIRLAMONEY.NS,2023-03-31,True,True,True,False,False,False,True,False,True
ADORWELD.NS,2023-03-31,True,False,True,True,True,False,False,True,False
ADROITINFO.NS,2023-03-31,True,True,True,True,True,True,True,True,False
ADVENZYMES.NS,2023-03-31,False,False,False,True,True,True,False,True,True
ADVANIHOTR.NS,2023-03-31,True,False,True,True,True,True,True,True,False
AEGISCHEM.NS,2023-03-31,True,True,True,True,True,False,False,True,False
AFFLE.NS,2023-03-31,True,True,True,True,True,True,False,True,True
AGARIND.NS,2023-03-31,True,True,True,True,True,False,True,True,True
AGRITECH.NS,2023-03-31,False,False,False,False,False,False,True,True,True
AGROPHOS.NS,2023-03-31,False,False,False,False,False,False,False,True,False
ATFL.NS,2023-03-31,False,False,False,False,True,False,False,True,True
AHLADA.NS,2023-03-31,False,False,False,False,True,False,False,True,True
AHLUCONT.NS,2023-03-31,False,True,True,True,True,False,False,True,True
AIAENG.NS,2023-03-31,True,False,True,True,True,True,False,True,True
AIRAN.NS,2023-03-31,False,False,False,True,True,False,False,True,True
AIROLAM.NS,2023-03-31,False,True,True,False,True,False,False,True,True
AJANTPHARM.NS,2023-03-31,False,False,True,True,True,True,False,True,True
AJMERA.NS,2023-03-31,True,False,False,False,True,True,True,True,True
AJOONI.NS,2023-03-31,False,True,False,False,False,False,False,True,False
AKASH.NS,2023-03-31,False,False,False,False,False,False,False,True,False
AKG.NS,2023-03-31,True,True,False,False,False,False,False,True,False
AKSHOPTFBR.NS,2023-03-31,True,False,False,False,True,True,True,False,True
AKSHARCHEM.NS,2023-03-31,False,False,False,False,True,False,True,True,True
AKZOINDIA.NS,2023-03-31,False,False,True,True,True,True,False,True,True
ALANKIT.NS,2023-03-31,False,False,False,False,False,False,True,True,True
ALBERTDAVD.NS,2023-03-31,False,True,True,True,True,False,True,True,True
ALEMBICLTD.NS,2023-03-31,True,False,False,True,True,True,True,True,True
APLLTD.NS,2023-03-31,False,False,False,True,True,False,False,True,True
ALICON.NS,2023-03-31,True,False,True,False,True,False,False,True,True
ALKALI.NS,2023-03-31,False,False,False,False,True,False,False,True,True
ALKEM.NS,2023-03-31,False,False,True,True,True,True,False,True,True
ALKYLAMINE.NS,2023-03-31,False,False,True,True,True,False,False,True,False
ALLCARGO.NS,2023-03-31,False,False,True,True,True,False,True,True,False
ADSL.NS,2023-03-31,False,False,False,False,True,False,False,True,True
ALLSEC.NS,2023-03-31,True,False,True,True,True,True,True,True,True
ALMONDZ.NS,2023-03-31,False,False,False,True,False,False,True,True,True
ALOKINDS.NS,2023-03-31,True,False,False,False,True,True,True,False,True
ALPA.NS,2023-03-31,False,False,False,True,False,False,True,True,True
ALPHAGEO.NS,2023-03-31,False,True,False,False,True,False,True,True,True
ALPSINDUS.NS,2023-03-31,False,False,False,False,True,True,True,False,True
AMBER.NS,2023-03-31,True,False,False,False,True,False,False,True,True
AMBIKCO.NS,2023-03-31,False,False,True,True,False,False,True,True,False
AMDIND.NS,2023-03-31,True,False,True,True,True,False,True,True,True
