Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
AISA.JK,2022-12-31,False,False,False,False,False,False,True,True,False
AKPI.JK,2022-12-31,True,True,True,True,True,False,True,True,False
AKRA.JK,2022-12-31,True,True,True,True,True,False,True,True,True
ALDO.JK,2022-12-31,False,False,False,False,False,False,False,True,False
AMAG.JK,2022-12-31,False,True,False,False,True,True,True,True,False
AMFG.JK,2022-12-31,True,False,True,True,True,True,True,True,False
AMRT.JK,2022-12-31,True,False,True,True,True,False,False,True,False
ANJT.JK,2022-12-31,False,False,False,False,True,False,False,True,False
ANTM.JK,2022-12-31,True,True,True,True,True,False,True,True,False
APEX.JK,2022-12-31,False,False,False,False,True,True,True,False,False
APIC.JK,2022-12-31,True,False,False,False,True,True,False,True,True
APLN.JK,2022-12-31,False,False,True,True,True,True,True,True,False
ARGO.JK,2022-12-31,True,False,False,False,False,False,True,False,False
ARII.JK,2022-12-31,False,False,True,False,True,False,False,False,False
ARNA.JK,2022-12-31,False,True,True,True,True,True,True,True,False
ARTI.JK,2022-12-31,True,False,True,False,False,False,True,False,True
ARTO.JK,2022-12-31,True,False,False,False,True,True,False,True,False
ASDM.JK,2022-12-31,False,False,False,False,True,False,True,True,True
ASGR.JK,2022-12-31,False,False,False,False,True,False,True,True,False
ASII.JK,2022-12-31,True,False,True,True,True,False,True,True,True
ASMI.JK,2022-12-31,False,False,False,False,True,True,True,True,False
BAJA.JK,2022-12-31,False,False,False,False,False,False,True,False,False
BALI.JK,2022-12-31,False,True,False,False,True,True,True,True,True
BAPA.JK,2022-12-31,True,False,False,False,False,False,True,True,False
BATA.JK,2022-12-31,True,False,False,False,True,False,True,True,True
BBCA.JK,2022-12-31,True,False,True,False,True,True,False,False,True
BBHI.JK,2022-12-31,True,True,False,False,False,False,False,True,False
BBKP.JK,2022-12-31,True,False,False,False,False,False,True,False,False
BBLD.JK,2022-12-31,True,False,False,False,False,False,True,False,False
BBMD.JK,2022-12-31,False,True,True,False,False,False,False,False,False
BBNI.JK,2022-12-31,True,False,True,False,True,True,True,False,True
BBRI.JK,2022-12-31,True,False,True,False,True,True,True,False,True
BBRM.JK,2022-12-31,False,False,False,False,True,False,False,True,True
BBTN.JK,2022-12-31,False,True,True,False,True,False,True,False,False
BBYB.JK,2022-12-31,True,False,False,False,True,True,True,False,False
BCAP.JK,2022-12-31,False,False,False,False,True,True,False,False,False
BCIC.JK,2022-12-31,True,False,False,False,False,False,False,False,False
BCIP.JK,2022-12-31,False,False,False,False,False,False,True,True,False
BDMN.JK,2022-12-31,True,False,False,False,False,False,True,False,False
BEKS.JK,2022-12-31,True,False,False,False,False,False,True,False,True
BEST.JK,2022-12-31,False,False,False,False,True,False,False,True,True
BFIN.JK,2022-12-31,True,False,True,True,False,False,True,True,True
BGTG.JK,2022-12-31,True,False,False,False,False,False,False,True,False
BHIT.JK,2022-12-31,True,False,False,False,True,True,True,True,False
BINA.JK,2022-12-31,True,True,False,False,False,False,False,False,True
BIPI.JK,2022-12-31,False,False,False,False,True,True,False,True,False
BIPP.JK,2022-12-31,False,False,False,False,False,False,True,True,True
BIRD.JK,2022-12-31,True,False,False,True,False,False,True,True,False
BISI.JK,2022-12-31,True,False,True,True,True,True,True,True,False
BJBR.JK,2022-12-31,False,True,True,False,False,False,True,False,False
BJTM.JK,2022-12-31,False,True,True,False,False,False,True,False,False
BKDP.JK,2022-12-31,False,False,False,False,False,False,True,True,False
BKSL.JK,2022-12-31,False,False,False,False,False,False,True,True,True
BKSW.JK,2022-12-31,False,False,False,False,False,False,True,False,True
BLTA.JK,2022-12-31,True,True,True,True,False,False,False,True,True
BLTZ.JK,2022-12-31,True,False,False,False,True,True,True,False,False
BMAS.JK,2022-12-31,True,True,False,False,False,False,False,False,True
BMRI.JK,2022-12-31,True,False,True,False,True,True,True,False,True
BMSR.JK,2022-12-31,True,False,True,True,True,False,True,True,False
BMTR.JK,2022-12-31,False,False,False,False,True,False,True,True,False
BNBA.JK,2022-12-31,False,False,False,False,False,False,False,True,False
BNBR.JK,2022-12-31,True,False,True,False,True,False,True,False,False
BNGA.JK,2022-12-31,False,False,True,False,False,False,True,False,True
BNII.JK,2022-12-31,False,False,False,False,False,False,True,False,True
BNLI.JK,2022-12-31,True,False,False,False,True,True,False,False,False
BOLT.JK,2022-12-31,False,False,False,True,True,False,False,True,False
BPFI.JK,2022-12-31,False,False,False,False,False,False,False,True,False
BPII.JK,2022-12-31,True,False,True,True,True,False,True,True,False
BRAM.JK,2022-12-31,True,False,True,True,True,True,False,True,False
AALI.JK,2022-12-31,False,False,False,True,True,False,True,True,False
ABBA.JK,2022-12-31,False,False,False,False,True,True,True,False,False
ABDA.JK,2022-12-31,False,False,False,False,False,False,False,True,False
ABMM.JK,2022-12-31,True,False,True,True,True,False,False,True,True
ACES.JK,2022-12-31,False,False,True,True,True,False,True,True,False
ACST.JK,2022-12-31,False,False,False,False,False,False,True,True,False
ADES.JK,2022-12-31,True,True,True,True,False,False,True,True,True
ADHI.JK,2022-12-31,True,False,False,False,True,False,False,False,False
ADMF.JK,2022-12-31,False,False,True,True,True,True,True,True,True
ADMG.JK,2022-12-31,False,False,False,False,False,False,True,True,False
ADRO.JK,2022-12-31,True,False,True,True,True,True,False,True,False
AGII.JK,2022-12-31,False,False,False,False,True,False,False,True,False
AGRO.JK,2022-12-31,False,False,False,False,True,False,False,False,True
AGRS.JK,2022-12-31,True,True,False,False,False,False,False,False,False
BRMS.JK,2022-12-31,False,False,False,False,False,False,False,True,False
BRPT.JK,2022-12-31,False,False,False,False,False,False,False,True,False
BSDE.JK,2022-12-31,True,False,False,False,True,True,True,True,True
BSIM.JK,2022-12-31,True,True,False,False,False,False,False,False,True
BUKK.JK,2022-12-31,False,False,True,True,True,False,True,True,False
BULL.JK,2022-12-31,False,False,False,False,False,False,True,True,False
BUMI.JK,2022-12-31,True,False,True,True,False,False,False,True,False
BUVA.JK,2022-12-31,True,False,True,False,False,False,True,False,True
BVIC.JK,2022-12-31,False,False,False,False,True,True,True,False,False
BWPT.JK,2022-12-31,False,False,False,False,True,False,False,False,False
BYAN.JK,2022-12-31,True,True,True,True,True,True,False,True,True
CASS.JK,2022-12-31,True,True,True,True,True,True,True,True,True
CEKA.JK,2022-12-31,False,False,True,True,False,False,True,True,True
CENT.JK,2022-12-31,True,False,True,False,True,True,True,False,False
CFIN.JK,2022-12-31,True,False,False,False,False,False,True,True,True
CITA.JK,2022-12-31,True,False,True,True,True,False,False,True,False
CLPI.JK,2022-12-31,False,False,False,False,False,False,True,True,True
CMNP.JK,2022-12-31,False,False,False,False,False,False,True,True,False
CMPP.JK,2022-12-31,True,False,True,False,True,True,True,False,False
CNKO.JK,2022-12-31,False,False,False,False,True,True,True,False,True
CPIN.JK,2022-12-31,False,False,True,True,False,False,False,True,False
CPRO.JK,2022-12-31,False,False,True,True,True,False,True,True,True
CSAP.JK,2022-12-31,False,False,False,False,False,False,True,False,True
CTBN.JK,2022-12-31,False,False,False,False,True,False,True,True,False
CTRA.JK,2022-12-31,False,True,False,False,True,True,True,True,True
CTTH.JK,2022-12-31,True,False,False,False,False,False,True,False,True
DART.JK,2022-12-31,False,False,False,False,False,False,True,True,False
DEWA.JK,2022-12-31,False,False,False,False,False,False,True,True,False
DGIK.JK,2022-12-31,False,False,False,False,False,False,False,True,True
DILD.JK,2022-12-31,False,False,False,False,False,False,True,True,True
DKFT.JK,2022-12-31,False,False,True,False,True,True,True,False,False
DLTA.JK,2022-12-31,False,False,True,True,True,True,True,True,True
DMAS.JK,2022-12-31,True,False,True,True,True,True,True,True,False
DNAR.JK,2022-12-31,False,False,False,False,False,False,False,True,False
DNET.JK,2022-12-31,True,False,True,True,False,False,False,True,True
DOID.JK,2022-12-31,True,False,True,False,True,False,False,False,True
DSNG.JK,2022-12-31,True,True,True,True,False,False,True,True,False
DSSA.JK,2022-12-31,True,False,True,True,True,True,False,True,False
DUTI.JK,2022-12-31,True,False,False,False,True,True,True,True,True
DVLA.JK,2022-12-31,False,False,True,True,False,False,False,True,False
DYAN.JK,2022-12-31,False,False,False,False,True,False,True,True,True
ECII.JK,2022-12-31,True,False,False,False,True,False,False,True,False
ELSA.JK,2022-12-31,True,False,False,False,True,False,True,True,True
ELTY.JK,2022-12-31,True,False,False,False,True,False,True,True,True
EMDE.JK,2022-12-31,False,False,False,False,False,False,True,True,False
EMTK.JK,2022-12-31,False,False,True,True,False,False,True,True,False
ENRG.JK,2022-12-31,True,False,True,True,True,True,False,True,False
EPMT.JK,2022-12-31,False,False,True,True,False,False,True,True,True
ERAA.JK,2022-12-31,False,True,True,True,False,False,True,True,False
ESSA.JK,2022-12-31,True,False,True,True,True,True,False,True,False
EXCL.JK,2022-12-31,False,False,False,False,True,True,False,False,False
FAST.JK,2022-12-31,False,False,False,False,True,False,True,False,False
FASW.JK,2022-12-31,False,False,False,False,True,False,False,True,False
FISH.JK,2022-12-31,False,True,True,True,True,False,False,True,False
FMII.JK,2022-12-31,True,False,False,False,True,True,False,True,True
FPNI.JK,2022-12-31,False,False,False,False,False,False,False,True,False
FREN.JK,2022-12-31,False,True,False,False,True,True,False,True,False
GDST.JK,2022-12-31,False,False,True,True,True,False,True,True,True
GEMA.JK,2022-12-31,False,False,False,False,False,False,False,True,True
GEMS.JK,2022-12-31,True,True,True,True,True,True,False,True,False
GGRM.JK,2022-12-31,False,False,False,False,True,False,False,True,True
GIAA.JK,2022-12-31,False,False,False,True,False,False,False,False,False
GJTL.JK,2022-12-31,False,False,False,False,False,False,True,True,True
GMTD.JK,2022-12-31,False,False,False,False,False,False,False,True,True
GPRA.JK,2022-12-31,False,False,False,False,True,True,True,True,True
GSMF.JK,2022-12-31,True,False,False,False,True,True,False,True,False
GWSA.JK,2022-12-31,True,False,False,False,False,False,False,True,False
GZCO.JK,2022-12-31,True,True,False,False,True,True,True,True,False
HDFA.JK,2022-12-31,True,True,False,False,False,False,False,True,False
HDTX.JK,2022-12-31,False,False,True,False,False,False,True,False,True
HERO.JK,2022-12-31,False,False,False,False,False,False,False,False,True
HEXA.JK,2023-03-31,False,False,True,True,False,False,False,True,True
HITS.JK,2022-12-31,False,False,False,False,True,True,False,True,True
HMSP.JK,2022-12-31,False,False,True,True,True,False,False,True,False
HRUM.JK,2022-12-31,True,True,True,True,True,True,False,True,False
IATA.JK,2022-12-31,False,False,True,True,False,False,False,True,False
IBST.JK,2022-12-31,False,False,False,False,True,False,False,True,False
ICBP.JK,2022-12-31,False,False,False,False,True,True,False,True,True
IGAR.JK,2022-12-31,False,False,False,True,False,False,True,True,False
IIKP.JK,2022-12-31,False,False,False,False,False,False,True,True,True
IKAI.JK,2022-12-31,False,False,False,False,True,False,True,True,True
IKBI.JK,2023-03-31,False,False,False,False,False,False,False,True,True
INDS.JK,2022-12-31,True,False,False,True,False,False,True,True,True
INDY.JK,2022-12-31,True,False,True,True,True,True,False,True,True
INKP.JK,2022-12-31,True,True,True,True,True,False,False,True,False
INPC.JK,2022-12-31,False,False,False,False,True,True,False,False,False
INPP.JK,2022-12-31,False,False,False,False,True,True,False,True,False
INTA.JK,2022-12-31,False,False,False,False,True,True,True,False,False
INTP.JK,2022-12-31,False,False,False,True,True,False,False,True,False
IPOL.JK,2022-12-31,False,False,False,False,False,False,False,True,False
ISAT.JK,2022-12-31,False,False,True,False,True,True,True,False,True
ISSP.JK,2022-12-31,False,False,False,False,False,False,True,True,True
ITMG.JK,2022-12-31,True,False,True,True,True,True,False,True,False
JAWA.JK,2022-12-31,True,False,False,False,False,False,True,False,False
JECC.JK,2022-12-31,False,False,False,False,False,False,True,True,False
JIHD.JK,2022-12-31,False,False,False,False,True,True,False,True,False
JKON.JK,2022-12-31,False,False,False,False,False,False,True,True,False
JPFA.JK,2022-12-31,False,False,True,False,False,False,True,True,False
JRPT.JK,2022-12-31,False,False,False,True,True,True,True,True,True
KIAS.JK,2022-12-31,False,True,False,False,False,False,False,True,True
KIJA.JK,2022-12-31,True,False,False,False,True,True,True,True,False
KKGI.JK,2022-12-31,True,False,True,True,True,True,False,True,True
KLBF.JK,2022-12-31,False,True,True,True,True,False,False,True,False
KOIN.JK,2022-12-31,True,False,False,False,False,False,True,False,False
KONI.JK,2022-12-31,True,False,False,True,False,False,False,True,False
KPIG.JK,2022-12-31,True,False,False,False,False,False,False,True,False
KRAS.JK,2022-12-31,False,False,False,False,True,True,False,False,False
KREN.JK,2022-12-31,False,False,False,False,False,False,True,True,True
LINK.JK,2022-12-31,False,False,False,False,False,False,False,True,False
LPCK.JK,2022-12-31,False,False,False,False,False,False,True,True,False
LPGI.JK,2022-12-31,False,False,True,False,False,False,False,False,True
LPKR.JK,2022-12-31,True,False,False,False,False,False,True,True,True
LPLI.JK,2022-12-31,True,False,False,False,False,False,True,True,False
LPPF.JK,2022-12-31,True,False,True,True,True,True,True,False,False
LPPS.JK,2022-12-31,False,False,False,False,False,False,True,True,False
LSIP.JK,2022-12-31,False,True,False,True,True,True,True,True,False
LTLS.JK,2022-12-31,False,False,True,True,True,False,True,True,False
MAIN.JK,2022-12-31,False,False,False,False,False,False,False,True,False
MAPI.JK,2022-12-31,True,False,True,True,True,True,True,True,True
MASA.JK,2022-12-31,False,False,True,True,True,True,False,True,True
MAYA.JK,2022-12-31,True,False,False,False,True,True,False,False,False
MBAP.JK,2022-12-31,True,False,True,True,True,True,False,True,False
MBSS.JK,2022-12-31,True,False,True,True,True,True,False,True,True
MCOR.JK,2022-12-31,True,False,False,False,False,False,False,False,False
MDIA.JK,2022-12-31,False,False,False,False,True,False,False,True,True
MDKA.JK,2022-12-31,True,False,False,False,False,False,False,True,False
MDLN.JK,2022-12-31,False,False,False,False,False,False,False,True,True
MDRN.JK,2022-12-31,False,False,False,True,True,False,True,False,True
MEDC.JK,2022-12-31,True,False,True,True,True,True,False,False,False
MEGA.JK,2022-12-31,False,True,True,False,True,True,False,False,False
MERK.JK,2022-12-31,True,False,True,True,True,False,True,True,True
META.JK,2022-12-31,True,False,False,False,False,False,False,True,False
MFIN.JK,2022-12-31,True,False,True,True,True,True,True,True,True
MICE.JK,2022-12-31,True,False,False,False,False,False,True,True,True
