Stock,Date,Sector,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,PBR,ROE_increase,Asset,Oper_over_Invest,Net Income Sign,Total Revenue,profit loss
1301.T,2023-03-31,Consumer Defensive,False,True,True,False,False,False,True,True,True,True,True,False,True,False,True
1332.T,2023-03-31,Consumer Defensive,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True
1333.T,2023-03-31,Consumer Defensive,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False
1375.T,2023-03-31,Consumer Defensive,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False
1376.T,2023-05-31,Basic Materials,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False
1377.T,2023-05-31,Consumer Defensive,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True
1379.T,2023-03-31,Consumer Defensive,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True
1380.T,2023-03-31,Consumer Defensive,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True
1381.T,2023-06-30,Consumer Defensive,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False
1382.T,2023-06-30,Consumer Defensive,False,False,True,True,True,False,True,True,False,False,True,True,True,False,True
1384.T,2023-03-31,Consumer Defensive,False,False,False,False,True,False,True,True,True,False,True,True,True,False,True
1400.T,2022-12-31,Real Estate,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True
1401.T,2023-05-31,Industrials,False,False,True,True,True,False,True,True,False,False,False,True,True,False,True
1407.T,2023-08-31,Utilities,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False
1414.T,2023-06-30,Industrials,False,True,True,True,True,False,False,True,False,True,False,True,True,True,True
1417.T,2023-03-31,Industrials,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True
1418.T,2023-02-28,Industrials,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True
1419.T,2023-05-31,Consumer Cyclical,False,True,True,True,True,False,True,True,False,False,True,True,True,True,False
1420.T,2023-03-31,Consumer Cyclical,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False
1429.T,2022-12-31,Basic Materials,True,False,True,True,False,False,False,True,False,True,True,False,True,True,False
1430.T,2023-05-31,Consumer Cyclical,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False
1431.T,2023-06-30,Real Estate,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
1433.T,2023-01-31,Industrials,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
1434.T,2023-08-31,Industrials,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True
1435.T,2022-12-31,Real Estate,True,True,False,True,True,False,False,True,False,True,False,True,False,False,True
1436.T,2023-04-30,Industrials,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True
1439.T,2022-12-31,Industrials,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False
1443.T,2023-03-31,Industrials,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False
1444.T,2023-07-31,Consumer Cyclical,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True
