Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
MMM,2022-12-31,False,False,True,True,True,True,True,True,False
AOS,2022-12-31,False,False,True,True,True,False,False,True,False
ABT,2022-12-31,False,False,True,True,True,True,False,True,True
ABBV,2022-12-31,False,False,True,True,True,True,False,False,False
ACN,2023-08-31,False,False,True,True,True,True,False,True,True
AMD,2022-12-31,False,False,False,False,True,True,False,True,True
AES,2022-12-31,True,False,False,False,True,False,True,False,False
AFL,2022-12-31,False,False,True,False,True,True,True,False,False
ABNB,2022-12-31,False,False,True,True,True,True,False,True,False
AKAM,2022-12-31,False,False,True,True,True,True,False,True,False
ALB,2022-12-31,True,False,True,True,True,False,True,True,False
ARE,2022-12-31,False,False,False,False,True,True,False,True,False
ALGN,2022-12-31,False,False,True,True,True,True,False,True,False
ALLE,2022-12-31,False,False,True,True,True,True,False,False,False
LNT,2022-12-31,False,True,True,False,True,True,False,True,True
ALL,2022-12-31,False,False,False,False,True,False,True,False,False
GOOGL,2022-12-31,False,False,True,True,True,True,False,True,True
GOOG,2022-12-31,False,False,True,True,True,True,False,True,True
MO,2022-12-31,True,False,False,True,True,True,True,False,False
AMZN,2022-12-31,False,False,False,False,True,False,True,True,True
AMCR,2023-06-30,False,False,True,True,True,False,False,False,False
AEE,2022-12-31,False,True,True,False,True,False,False,False,True
AAL,2022-12-31,False,False,False,False,True,False,False,False,False
AEP,2022-12-31,False,False,False,False,True,False,False,False,True
AXP,2022-12-31,False,False,True,False,True,True,False,False,False
AIG,2022-12-31,False,False,True,False,True,False,True,False,False
AMT,2022-12-31,False,False,True,False,True,True,False,False,False
AWK,2022-12-31,False,False,True,False,True,False,False,False,False
AMP,2022-12-31,False,False,True,False,True,True,False,False,False
AME,2022-12-31,False,True,True,True,True,True,False,True,False
AMGN,2022-12-31,False,False,True,True,True,True,False,False,False
APH,2022-12-31,False,True,True,True,True,True,False,True,False
ANSS,2022-12-31,False,False,True,True,True,True,False,True,True
AON,2022-12-31,True,False,False,True,True,True,False,False,True
APA,2022-12-31,True,False,True,True,True,True,True,False,False
APTV,2022-12-31,False,False,False,False,True,False,False,True,False
ACGL,2022-12-31,False,False,True,False,True,True,False,False,True
ADM,2022-12-31,True,True,True,True,True,False,True,True,False
ANET,2022-12-31,True,False,True,True,True,True,False,True,True
AJG,2022-12-31,False,True,True,False,True,True,False,False,True
AIZ,2022-12-31,False,False,False,False,True,False,False,False,False
T,2022-12-31,False,False,False,False,True,True,True,False,False
ADSK,2023-01-31,True,False,True,True,True,True,False,False,True
ADP,2023-06-30,False,True,True,True,True,True,False,False,False
AZO,2023-08-31,False,True,False,True,True,True,False,False,True
AVB,2022-12-31,False,True,True,True,True,True,False,True,True
AVY,2022-12-31,False,True,True,True,True,False,False,False,False
AXON,2022-12-31,False,False,True,True,True,True,False,True,True
BKR,2022-12-31,True,False,False,False,True,False,True,True,False
BALL,2022-12-31,False,False,True,False,True,False,False,False,True
BAC,2022-12-31,False,False,True,False,False,False,True,False,False
BK,2022-12-31,False,False,False,False,True,True,False,False,False
BBWI,2023-01-31,False,False,False,True,True,True,True,False,True
BAX,2022-12-31,False,False,False,False,True,False,True,False,True
BBY,2023-01-31,False,False,True,True,True,False,True,False,True
BIO,2022-12-31,False,False,False,False,True,False,True,True,False
TECH,2023-06-30,False,False,True,True,True,True,False,True,False
BIIB,2022-12-31,True,False,True,True,True,True,True,True,True
BLK,2022-12-31,False,False,True,False,True,True,False,True,False
BX,2022-12-31,False,False,False,False,True,True,False,True,False
BA,2022-12-31,False,False,True,False,True,False,True,False,False
BKNG,2022-12-31,True,False,True,True,True,True,False,False,True
BWA,2022-12-31,True,False,True,True,True,False,True,True,False
BXP,2022-12-31,True,False,True,False,True,True,True,True,False
